Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte énderung;;;;;
12;10030700;Gries & Heissel - Bankiers;Wiesbaden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
13;10033300;Santander Bank;Berlin;eigenes Rechenzentrum;BdB;sec.santanderbank.de;193.243.184.115;3.0;;ja;;;;;;;;;;;;;;;26.02.2014;;;;;
14;10040000;Commerzbank;Berlin;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
15;10050000;Berliner Sparkasse;Berlin;Finanz Informatik GmbH & Co. KG;DSGV;banking-be3.s-fints-pt-be.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-be3.s-fints-pt-be.de/fints30;FinTS V3.0;09.07.2016;;;;;
16;10070000;Deutsche Bank Fil Berlin;Berlin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
17;10070024;Deutsche Bank Privat und GeschÑftskunden F 700;Berlin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
18;10070100;Deutsche Bank Fil Berlin II;Berlin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
19;10070124;Deutsche Bank Privat und GeschÑftskd Berlin II;Berlin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
20;10077777;norisbank GmbH;Berlin;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://fints.norisbank.de/;FinTS V3.0;10.06.2013;;;;;
21;10090000;Berliner Volksbank;Berlin;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
22;10090900;PSD Bank Berlin-Brandenburg;Berlin;Fiducia & GAD IT AG;BVR;;;;;;;;;;;;;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;16.09.2016;;;;;
23;10120100;Weberbank;Berlin;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016;;;;;
24;10130600;Isbank AG;Frankfurt am Main;Bank-Verlag;BdB;;;;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;01.10.2018;;;;;
25;10130800;biw Bank fÅr Investments und Wertpapiere;Willich;XCOM AG;BdB;hbcisepa.biw-bank.de;62.192.203.46;3.0;;ja;ja;;;ja;;;;;;;;;https://konto.biw-bank.de/hbci/;FinTS V3.0;23.06.2014;;;;;
26;10320800;Keine FinTS-UnterstÅtzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;12030000;Deutsche Kreditbank Berlin (DKB) AG;Berlin ;Finanz Informatik GmbH & Co. KG;DSGV;banking.s-fints-pt-dkb.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-dkb.s-fints-pt-dkb.de/fints30;FinTS V3.0;09.07.2016;;;;;
28;12030000;SKG BANK AG / SKG BANK GmbH;SaarbrÅcken;Finanz Informatik GmbH & Co. KG;DSGV;banking.s-fints-pt-dkb.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-dkb.s-fints-pt-dkb.de/fints30;FinTS V3.0;24.03.2017;;;;;
29;12030900;Merck Finck & Co.;Berlin;Bank-Verlag GmbH;BdB;hbciserver.bankverlag.de;nicht unterstÅtzt;3.0;;ja;;ja;;ja;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;08.10.2010;;;;;
30;12040000;Commerzbank;Berlin;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
31;12070000;Deutsche Bank Ld Brandenburg;Potsdam;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
32;12070000;Deutsche Bank;Bad Freienwalde (Oder);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
33;12070000;Deutsche Bank;Bernau bei Berlin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
34;12070000;Deutsche Bank;Brandenburg an der Havel;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
35;12070000;Deutsche Bank;Cottbus;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
36;12070000;Deutsche Bank;Eberswalde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
37;12070000;Deutsche Bank;EisenhÅttenstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
38;12070000;Deutsche Bank;Finsterwalde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
39;12070000;Deutsche Bank;Frankfurt (Oder);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
40;12070000;Deutsche Bank;FÅrstenwalde/Spree;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
41;12070000;Deutsche Bank;JÅterbog;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
42;12070000;Deutsche Bank;Kînigs Wusterhausen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
43;12070000;Deutsche Bank;Kyritz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
44;12070000;Deutsche Bank;Neuruppin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
45;12070000;Deutsche Bank;Oranienburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
46;12070000;Deutsche Bank;Berlin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
47;12070000;Deutsche Bank;Pritzwalk;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
48;12070000;Deutsche Bank;Rathenow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
49;12070000;Deutsche Bank;Schwedt/Oder;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
50;12070000;Deutsche Bank;Seelow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
51;12070000;Deutsche Bank;Senftenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
52;12070000;Deutsche Bank;Spremberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
53;12070000;Deutsche Bank;Wei·wasser/O.L.;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
54;12070000;Deutsche Bank;Guben;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
55;12070000;Deutsche Bank;Wittstock/Dosse;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
56;12070000;Deutsche Bank;Zossen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
57;12070000;Deutsche Bank;AngermÅnde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
58;12070000;Deutsche Bank;Falkensee;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
59;12070000;Deutsche Bank;Forst (Lausitz);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
60;12070000;Deutsche Bank;Hennigsdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
61;12070000;Deutsche Bank;Luckenwalde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
62;12070000;Deutsche Bank;Ludwigsfelde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
63;12070000;Deutsche Bank;LÅbben (Spreewald);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
64;12070000;Deutsche Bank;Schwarzheide;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
65;12070000;Deutsche Bank;Strausberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
66;12070000;Deutsche Bank;Teltow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
67;12070000;Deutsche Bank;Werder (Havel);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
68;12070000;Deutsche Bank;Nauen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
69;12070024;Deutsche Bank Privat und GeschÑftskunden;Potsdam;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
70;12070024;Deutsche Bank Privat und GeschÑftskunden;AngermÅnde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
71;12070024;Deutsche Bank Privat und GeschÑftskunden;Bad Freienwalde (Oder);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
72;12070024;Deutsche Bank Privat und GeschÑftskunden;Bernau bei Berlin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
73;12070024;Deutsche Bank Privat und GeschÑftskunden;Cottbus;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
74;12070024;Deutsche Bank Privat und GeschÑftskunden;Eberswalde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
75;12070024;Deutsche Bank Privat und GeschÑftskunden;EisenhÅttenstadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
76;12070024;Deutsche Bank Privat und GeschÑftskunden;Falkensee;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
77;12070024;Deutsche Bank Privat und GeschÑftskunden;Finsterwalde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
78;12070024;Deutsche Bank Privat und GeschÑftskunden;Forst (Lausitz);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
79;12070024;Deutsche Bank Privat und GeschÑftskunden;Frankfurt (Oder);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
80;12070024;Deutsche Bank Privat und GeschÑftskunden;FÅrstenwalde/Spree;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
81;12070024;Deutsche Bank Privat und GeschÑftskunden;Guben;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
82;12070024;Deutsche Bank Privat und GeschÑftskunden;Hennigsdorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
83;12070024;Deutsche Bank Privat und GeschÑftskunden;JÅterbog;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
84;12070024;Deutsche Bank Privat und GeschÑftskunden;Kînigs Wusterhausen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
85;12070024;Deutsche Bank Privat und GeschÑftskunden;Kyritz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
86;12070024;Deutsche Bank Privat und GeschÑftskunden;Luckenwalde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
87;12070024;Deutsche Bank Privat und GeschÑftskunden;Ludwigsfelde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
88;12070024;Deutsche Bank Privat und GeschÑftskunden;LÅbben (Spreewald);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
89;12070024;Deutsche Bank Privat und GeschÑftskunden;Nauen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
90;12070024;Deutsche Bank Privat und GeschÑftskunden;Neuruppin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
91;12070024;Deutsche Bank Privat und GeschÑftskunden;Oranienburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
92;12070024;Deutsche Bank Privat und GeschÑftskunden;Berlin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
93;12070024;Deutsche Bank Privat und GeschÑftskunden;Pritzwalk;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
94;12070024;Deutsche Bank Privat und GeschÑftskunden;Rathenow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
95;12070024;Deutsche Bank Privat und GeschÑftskunden;Schwarzheide;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
96;12070024;Deutsche Bank Privat und GeschÑftskunden;Schwedt/Oder;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
97;12070024;Deutsche Bank Privat und GeschÑftskunden;Seelow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
98;12070024;Deutsche Bank Privat und GeschÑftskunden;Senftenberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
99;12070024;Deutsche Bank Privat und GeschÑftskunden;Spremberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
100;12070024;Deutsche Bank Privat und GeschÑftskunden;Strausberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
101;12070024;Deutsche Bank Privat und GeschÑftskunden;Teltow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
102;12070024;Deutsche Bank Privat und GeschÑftskunden;Wei·wasser/O.L.;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
103;12070024;Deutsche Bank Privat und GeschÑftskunden;Werder (Havel);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
104;12070024;Deutsche Bank Privat und GeschÑftskunden;Wittstock/Dosse;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
105;12070024;Deutsche Bank Privat und GeschÑftskunden;Zossen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
106;12070024;Deutsche Bank Privat und GeschÑftskunden F 704;Brandenburg an der Havel;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
107;12096597;Sparda-Bank Berlin eG;Berlin;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;15.09.2018;;;;;
108;13040000;Commerzbank;Rostock;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
109;13040000;Commerzbank;Wismar;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
110;13040000;Commerzbank;Roggentin;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
111;13050000;Ostseesparkasse Rostock;Rostock;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016;;;;;
112;13061008;Volksbank Wolgast eG;Wolgast;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
113;13061028;Volksbank Greifswald eG;Greifswald;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
114;13061078;Volks- und Raiffeisenbank eG Wismar;Wismar;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
115;13061078;VRB eG, Wismar;Wismar;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
116;13061128;Raiffeisenbank Bad Doberan eG;Bad Doberan;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
