Nr.	BLZ	BIC	Institut	Ort	RZ	Organisation	HBCI-Zugang DNS	HBCI- Zugang     IP-Adresse	HBCI-Version	DDV	RDH-1	RDH-2	RDH-3	RDH-4	RDH-5	RDH-6	RDH-7	RDH-8	RDH-9	RDH-10	RAH-7	RAH-9	RAH-10	PIN/TAN-Zugang URL	Version	Datum letzte Änderung
1518	46262456	GENODEM1HUL	Volksbank Bigge-Lenne eG	Lennestadt	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1519	46441003	COBADEFFXXX	Commerzbank	Meschede	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1520	46451012	WELADED1MES	Sparkasse Meschede	Meschede	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl4.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl4.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1521	46461126	GENODEM1SRL	Volksbank Sauerland eG	Bestwig	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1522	46462271	GENODEM1ANO	SDK Oeventrop eG	Oeventrop	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1523	46464453	GENODEM1RET	Volksbank Reiste-Eslohe eG	Reiste-Eslohe	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1524	46640018	COBADEFFXXX	Commerzbank	Arnsberg	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1525	46650005	WELADED1ARN	Sparkasse Arnsberg-Sundern	Arnsberg-Sundern	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl1.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl1.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1526	46660022	GENODEM1NEH	VB Arnsberg-Sundern eG.	Arnsberg-Sundern	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1527	46670007	DEUTDEDW466	Deutsche Bank	Arnsberg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1528	46670007	DEUTDEDW466	Deutsche Bank	Sundern (Sauerland)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1529	46670007	DEUTDEDW466	Deutsche Bank	Meschede	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1530	46670024	DEUTDEDB961	Deutsche Bank Privat und Geschäftskunden	Arnsberg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1531	46670024	DEUTDEDB961	Deutsche Bank Privat und Geschäftskunden	Meschede	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1532	46670024	DEUTDEDB961	Deutsche Bank Privat und Geschäftskunden	Sundern (Sauerland)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1533	47240047	COBADEFFXXX	Commerzbank	Lippstadt	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1534	47240047	COBADEFFXXX	Commerzbank	Paderborn	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1535	47240047	COBADEFFXXX	Commerzbank	Bad Driburg	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1536	47251550	WELADED1HXB	Sparkasse Höxter	Höxter	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl6.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl6.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1537	47251740	WELADED1DEL	Stadtsparkasse Delbrück	Delbrück	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl2.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl2.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1538	47260121	DGPBDE3MXXX	VerbundVolksbank OWL eG	Paderborn	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	12/21/17
1539	47260234	GENODEM1EWB	Volksbank Elsen-Wewer-Borchen eG	Elsen	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1540	47260307	GENODEM1BKC	Bank für Kirche und Caritas eG	Paderborn	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1541	47261603	GENODEM1BUS	Volksbank Brilon-Büren-Salzkotten eG	Büren / Salzkotten	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	10/28/17
1542	47262626	GENODEM1WDE	Volksbank Westenholz eG	Westenholz	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1543	47262703	GENODEM1DLB	Volksbank Delbrück-Hövelshof eG	Delbrück / Hövelshof	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	8/22/15
1544	47263472	GENODEM1WWW	VB Westerloh-Westerwiehe eG	Westerloh-Wersterwiehe	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1545	47264367	GENODEM1STM	Volksbank Driburg - Brakel - Steinheim eG	Driburg / Brakel / Steinheim	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1546	47265383	GENODEM1WAH	Volksbank Wewelsburg-Ahden eG	Wewelsburg-Ahden	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1547	47270024	DEUTDEDB472	Deutsche Bank Privat und Geschäftskunden	Paderborn	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1548	47270024	DEUTDEDB472	Deutsche Bank Privat und Geschäftskunden	Bad Driburg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1549	47270024	DEUTDEDB472	Deutsche Bank Privat und Geschäftskunden	Bad Lippspringe	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1550	47270024	DEUTDEDB472	Deutsche Bank Privat und Geschäftskunden	Geseke	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1551	47270024	DEUTDEDB472	Deutsche Bank Privat und Geschäftskunden	Höxter	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1552	47270029	DEUTDE3B472	Deutsche Bank	Paderborn	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1553	47270029	DEUTDE3B472	Deutsche Bank	Geseke	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1554	47270029	DEUTDE3B472	Deutsche Bank	Bad Driburg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1555	47270029	DEUTDE3B472	Deutsche Bank	Höxter	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1556	47270029	DEUTDE3B472	Deutsche Bank	Bad Lippspringe	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1557	47460028	GENODEM1WBG	Volksbank Warburg-Scherfede eG.	Warburg-Scherfede	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1558	47640051	COBADEFFXXX	Commerzbank	Detmold	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1559	47640051	COBADEFFXXX	Commerzbank	Lemgo	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1560	47640051	COBADEFFXXX	Commerzbank	Bad Salzuflen	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1561	47640051	COBADEFFXXX	Commerzbank	Bad Pyrmont	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1562	47650130	WELADE3LXXX	Sparkasse Paderborn-Detmold	Detmold	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl1.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl1.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1563	47651225	WELADED1BLO	Stadtsparkasse Blomberg/Lippe	Blomberg	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl6.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl6.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1564	47670023	DEUTDE3B476	Deutsche Bank	Detmold	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1565	47670023	DEUTDE3B476	Deutsche Bank	Blomberg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1566	47670023	DEUTDE3B476	Deutsche Bank	Bad Salzuflen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1567	47670023	DEUTDE3B476	Deutsche Bank	Lemgo	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1568	47670023	DEUTDE3B476	Deutsche Bank	Lage	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1569	47670023	DEUTDE3B476	Deutsche Bank	Horn-Bad Meinberg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1570	47670024	DEUTDEDB476	Deutsche Bank Privat und Geschäftskunden	Detmold	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1571	47670024	DEUTDEDB476	Deutsche Bank Privat und Geschäftskunden	Bad Salzuflen	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1572	47670024	DEUTDEDB476	Deutsche Bank Privat und Geschäftskunden	Blomberg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1573	47670024	DEUTDEDB476	Deutsche Bank Privat und Geschäftskunden	Horn-Bad Meinberg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1574	47670024	DEUTDEDB476	Deutsche Bank Privat und Geschäftskunden	Lage	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1575	47670024	DEUTDEDB476	Deutsche Bank Privat und Geschäftskunden	Lemgo	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1576	47691200	GENODEM1OLB	Volksbank Ostlippe eG.	Ostlippe	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1577	47840065	COBADEFFXXX	Commerzbank	Gütersloh	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1578	47840065	COBADEFFXXX	Commerzbank	Versmold	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1579	47840065	COBADEFFXXX	Commerzbank	Rietberg	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1580	47840065	COBADEFFXXX	Commerzbank	Rheda-Wiedenbrück	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1581	47840065	COBADEFFXXX	Commerzbank	Oelde	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1582	47850065	WELADED1GTL	Sparkasse Gütersloh	Gütersloh	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl1.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl1.s-fints-pt-wl.de/fints30	FinTS V3.0	8/20/17
1583	47853355	WELADED1VSM	Stadtsparkasse Versmold	Versmold	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl2.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl2.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1584	47853520	WELADED1WDB	Kreissparkasse Wiedenbrück	Wiedenbrück	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl5.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl5.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1585	47860125	GENODEM1GTL	Volksbank Gütersloh eG	Gütersloh	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1586	47861317	GENODEM1CLL	VB Clarholz-Lette-Beelen eG.	Clarholz	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1587	47861518	GENODEM1HWI	Volksbank Harsewinkel eG.	Harsewinkel	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1588	47862447	GENODEM1RNE	Volksbank Rietberg eG	Rietberg	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1589	47863373	GENODEM1VMD	Volksbank Versmold eG.	Versmold	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1590	48020086	HYVEDEMM344	UniCredit Bank - HypoVereinsbank AG	Bielefeld	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
1591	48020086	HYVEDEMM344	UniCredit Bank - HypoVereinsbank AG	Gütersloh	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
1592	48020086	HYVEDEMM344	UniCredit Bank - HypoVereinsbank AG	Herford	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
1593	48020151	LAMPDEDDXXX	Bankhaus Lampe	Berlin	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1594	48020151	LAMPDEDDXXX	Bankhaus Lampe	Bielefeld	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1595	48020151	LAMPDEDDXXX	Bankhaus Lampe	Düsseldorf	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1596	48020151	LAMPDEDDXXX	Bankhaus Lampe	Frankfurt/Main	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1597	48020151	LAMPDEDDXXX	Bankhaus Lampe	Hamburg	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1598	48020151	LAMPDEDDXXX	Bankhaus Lampe	München	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1599	48020151	LAMPDEDDXXX	Bankhaus Lampe	Münster	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1600	48020151	LAMPDEDDXXX	Bankhaus Lampe	Bremen	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1601	48020151	LAMPDEDDXXX	Bankhaus Lampe	Osnabrück	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1602	48020151	LAMPDEDDXXX	Bankhaus Lampe	Bonn	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1603	48020151	LAMPDEDDXXX	Bankhaus Lampe	Stuttgart	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1604	48020151	LAMPDEDDXXX	Bankhaus Lampe	Dresden	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	9/10/09
1605	48021900	DGPBDE3MBVW	Bankverein Werther AG	Werther	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1606	48040035	COBADEFFXXX	Commerzbank	Bielefeld	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1607	48040035	COBADEFFXXX	Commerzbank	Steinhagen	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
1608	48050161	SPBIDE3BXXX	Sparkasse Bielefeld	Bielefeld	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl1.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl1.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1609	48051580	WELADED1HAW	Kreissparkasse Halle (Westf.)	Halle	Finanz Informatik GmbH & Co. KG	DSGV	banking-wl1.s-fints-pt-wl.de	nicht unterstützt	3.0	ja											ja			https://banking-wl1.s-fints-pt-wl.de/fints30	FinTS V3.0	7/9/16
1610	48060036	GENODEM1BIE	VB Bielefeld eG	Bielefeld, Brackwede	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1611	48060036	GENODEM1BIE	Volksbank Bielefeld eG	Bielefeld	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1612	48062051	GENODEM1HLW	Volksbank Halle/Westf. eG	Halle	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1613	48062466	GENODEM1SHS	SDK Schloß Holte-Stukenbrock	Holte-Stukenbrock	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
1614	48070020	DEUTDE3BXXX	Deutsche Bank	Bielefeld	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1615	48070020	DEUTDE3BXXX	Deutsche Bank	Halle (Westf.)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1616	48070020	DEUTDE3BXXX	Deutsche Bank	Oerlinghausen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1617	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Bielefeld	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1618	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Halle (Westf.)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1619	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Oerlinghausen	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1620	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Beckum	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1621	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Gütersloh	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1622	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Harsewinkel	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1623	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Oelde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1624	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Rheda-Wiedenbrück	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1625	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Verl	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1626	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Bünde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1627	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Herford	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1628	48070024	DEUTDEDBBIE	Deutsche Bank Privat und Geschäftskunden	Spenge	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1629	48070040	DEUTDE3B480	Deutsche Bank	Gütersloh	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1630	48070042	DEUTDE3B484	Deutsche Bank	Harsewinkel	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1631	48070043	DEUTDE3B489	Deutsche Bank	Verl	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1632	48070044	DEUTDE3B487	Deutsche Bank	Rheda-Wiedenbrück	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
1633	48070045	DEUTDE3B413	Deutsche Bank	Beckum	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
