Nr.	BLZ	BIC	Institut	Ort	RZ	Organisation	HBCI-Zugang DNS	HBCI- Zugang     IP-Adresse	HBCI-Version	DDV	RDH-1	RDH-2	RDH-3	RDH-4	RDH-5	RDH-6	RDH-7	RDH-8	RDH-9	RDH-10	RAH-7	RAH-9	RAH-10	PIN/TAN-Zugang URL	Version	Datum letzte Änderung
720	28070057	DEUTDEHB280	Deutsche Bank	Bad Zwischenahn	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
721	28240023	COBADEFFXXX	Commerzbank	Wilhelmshaven	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
722	28250110	BRLADE21WHV	Sparkasse Wilhelmshaven	Wilhelmshaven	Finanz Informatik GmbH & Co. KG	DSGV	banking-ni1.s-fints-pt-ni.de	nicht unterstützt	3.0	ja											ja			https://banking-ni1.s-fints-pt-ni.de/fints30	FinTS V3.0	7/9/16
723	28262254	GENODEF1JEV	Raiffeisen-Volksbank Jever eG	Jever	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
724	28262673	GENODEF1VAR	Raiffeisen-Volksbank Varel-Nordenham eG	Varel-Nordenham	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
725	28270024	DEUTDEDB282	Deutsche Bank Privat und Geschäftskunden	Wilhelmshaven	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
726	28270024	DEUTDEDB282	Deutsche Bank Privat und Geschäftskunden	Jever	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
727	28270056	DEUTDEHB282	Deutsche Bank	Wilhelmshaven	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
728	28270056	DEUTDEHB282	Deutsche Bank	Jever	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
729	28290063	GENODEF1WHV	Volksbank Wilhelmshaven eG	Wilhelmshaven	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
730	28291551	GENODEF1ESE	Volksbank Esens-Holtriem eG	Esens-Holtriem	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
731	28350000	BRLADE21ANO	Sparkasse Aurich-Norden	Aurich-Norden	Finanz Informatik GmbH & Co. KG	DSGV	banking-ni1.s-fints-pt-ni.de	nicht unterstützt	3.0	ja											ja			https://banking-ni1.s-fints-pt-ni.de/fints30	FinTS V3.0	7/9/16
732	28361592	GENODEF1MAR	Brookmerlander Raiffeisenbank eG	Brookmerland	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
733	28440037	COBADEFFXXX	Commerzbank	Emden	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
734	28450000	BRLADE21EMD	Sparkasse Emden	Emden	Finanz Informatik GmbH & Co. KG	DSGV	banking-ni1.s-fints-pt-ni.de	nicht unterstützt	3.0	ja											ja			https://banking-ni1.s-fints-pt-ni.de/fints30	FinTS V3.0	7/9/16
